customer_id,cohort_month,segment,monthly_spending,months_to_churn,contract_type
1,19,churn_risk,50.73,1.9,month-to-month
2,16,standard,150.16,21.6,month-to-month
3,21,churn_risk,35.85,0.2,annual
4,23,standard,161.34,3.6,month-to-month
5,17,high_value,375.41,3.1,month-to-month
6,23,churn_risk,64.55,0.1,month-to-month
7,13,churn_risk,43.96,11.1,month-to-month
8,23,churn_risk,42.84,12.8,month-to-month
9,3,high_value,584.77,41.5,month-to-month
10,11,standard,154.33,6.3,month-to-month
11,19,standard,129.22,27.4,month-to-month
12,24,churn_risk,49.17,4.8,month-to-month
13,21,standard,172.47,14.1,annual
14,9,churn_risk,30.19,5.9,month-to-month
15,16,standard,192.37,18.2,month-to-month
16,3,standard,142.07,23.9,annual
17,3,standard,191.07,2.4,month-to-month
18,17,high_value,534.32,2.9,month-to-month
19,8,churn_risk,47.23,7.1,annual
20,14,standard,202.9,25.4,annual
21,5,churn_risk,77.74,12.5,month-to-month
22,20,standard,115.97,28.6,month-to-month
23,3,churn_risk,43.62,14.5,month-to-month
24,15,churn_risk,46.79,10.5,month-to-month
25,17,churn_risk,54.86,14.4,annual
26,20,high_value,513.91,24.2,annual
27,7,standard,83.22,16.0,month-to-month
28,9,high_value,541.84,10.7,annual
29,14,high_value,378.54,65.3,multi-year
30,7,standard,166.94,21.4,multi-year
31,18,churn_risk,64.08,1.8,month-to-month
32,19,churn_risk,47.09,2.8,multi-year
33,19,standard,117.38,56.7,month-to-month
34,12,standard,153.42,52.5,month-to-month
35,16,standard,155.89,26.3,month-to-month
36,5,high_value,481.93,10.5,month-to-month
37,5,high_value,452.28,15.3,month-to-month
38,10,standard,144.98,36.5,month-to-month
39,5,standard,166.21,52.2,annual
40,20,standard,189.47,42.0,annual
41,7,standard,161.37,28.6,annual
42,23,churn_risk,42.28,4.7,annual
43,10,churn_risk,56.47,1.1,month-to-month
44,19,standard,198.24,35.9,annual
45,2,churn_risk,35.74,8.5,annual
46,18,churn_risk,63.61,45.5,month-to-month
47,11,standard,184.77,30.6,multi-year
48,20,standard,180.2,20.3,annual
49,5,standard,116.99,18.2,annual
50,5,high_value,508.07,35.0,annual
51,21,high_value,510.7,32.6,annual
52,14,high_value,538.38,37.4,annual
53,14,churn_risk,58.56,2.4,annual
54,15,standard,177.93,47.0,month-to-month
55,9,churn_risk,56.02,10.9,month-to-month
56,23,churn_risk,49.75,0.1,month-to-month
57,14,standard,132.04,38.4,multi-year
58,1,standard,166.52,7.8,month-to-month
59,7,high_value,550.36,12.8,month-to-month
60,24,high_value,381.08,56.8,month-to-month
61,12,standard,97.33,43.1,month-to-month
62,18,standard,153.95,103.6,multi-year
63,1,standard,136.77,19.5,annual
64,1,churn_risk,52.83,3.6,month-to-month
65,5,standard,153.64,18.5,annual
66,13,standard,127.46,13.9,multi-year
67,15,standard,109.95,33.3,annual
68,2,standard,138.47,5.8,annual
69,23,high_value,482.87,61.3,annual
70,15,standard,208.78,3.0,annual
71,9,standard,119.64,13.5,multi-year
72,11,standard,128.37,77.0,annual
73,13,churn_risk,52.81,0.9,annual
74,19,standard,152.61,22.2,month-to-month
75,3,high_value,498.08,24.4,month-to-month
76,14,standard,144.98,36.2,month-to-month
